"","alias","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"47","Bantu Beer",4.99778453764503,-1.10384879154356,0.00596669637841806,-0.0780340264953118,0.309189843819214,-0.166898561179388,-0.00938497595208642,0.814996038648006,-0.217953683372286,-0.569066081067856
"48","Barley",-4.22648823441334,0.388915378388916,0.387490980678825,-1.10912646876035,-1.86254623454998,-1.42390247644992,0.290215636303292,-0.901577127899278,1.31072935545715,-0.529463558701955
"49","Bartlett Pear",4.85338890093514,0.351909230208124,-0.512636581409038,-0.746278962642861,0.284284035662436,0.735225333455811,0.570217913199938,1.67504281967048,-1.02571584840647,-0.0725868193001644
"50","Basil",-4.82674041893769,0.742755921840377,-5.18574611859372,2.8344253155983,1.79414866337554,-0.830185653687634,-0.184238006338355,-0.842412122959833,0.845638440645777,-0.00950059139167674
"51","Basmati Rice",4.75460300846643,-0.779807953734544,-0.327363415080047,0.182916873214566,-0.600230283156357,-0.0085261205000256,-0.907633594720056,1.314447051338,-0.275849253158164,-0.944353483242024
"52","Bayberry",-4.20986721515125,-1.0465816896846,1.05805342513206,-0.177413160289149,0.552890056478176,-0.438813644471894,-0.342356123465756,0.327010369532743,-0.302165659979069,-0.0810251530331953
"53","Beans",-4.17607093425223,3.67635496945734,-0.425820869764426,-0.963487519197622,-2.80944956013372,0.408287447464776,-0.543540689474738,1.21231232552192,0.216993803081244,-1.95298235085433
"54","Bearded seal",5.07731138892543,-1.89079856484952,-0.0452761656261145,0.0311606352559874,-0.138168513861102,0.43573469518087,0.177984150984442,-0.458169324246898,0.142678251172102,0.276050325533482
"55","Beech nut",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"56","Beef",4.68669465864129,1.1943373077981,-0.673706605303327,-0.184234145414806,-2.64887819258042,-0.366767397214101,-0.93060101482997,-1.0747625631195,-0.260241936979424,3.13347411334021
"57","Beef Processed",4.69934168757516,3.47587518918015,-0.460567803752519,-0.293251410948998,-6.2761421410349,-2.54130020092565,-3.23780014381771,-0.680168959828927,0.828836958149846,5.20661491661227
"58","Beer",2.37275561056802,8.45570718324926,-1.11960982417354,-2.45681817332835,-3.28099209525927,-0.765797984821121,-0.410440947606045,-1.44392847142612,-0.00333008284408877,0.594981989101809
"59","Beetroot",-4.44515226849761,-0.49519721146442,0.279154431085845,-0.63774749839959,-1.21984560679537,0.910611884848099,0.799689655666299,-0.463480649244536,1.2161125493982,-1.16087991334229
"60","Beluga whale",5.07731138892543,-1.89079856484952,-0.0452761656261145,0.0311606352559874,-0.138168513861102,0.43573469518087,0.177984150984442,-0.458169324246898,0.142678251172102,0.276050325533482
"61","Bergamot",5.11720499024886,-1.61435299073203,-0.611600273909614,0.0729331657941816,0.430669110928775,-0.0170977460530344,-0.402826535482402,0.679036679940113,-0.548563957724198,-0.332777939071194
"62","Berry",4.40489459490122,0.736952000686672,-0.290697916751208,0.641046776829951,0.147284085492191,-0.0944354068412305,-0.775885191380054,1.37722239466149,-0.267847634723793,-1.21243057954306
"63","Berry wine",5.05104624806694,-1.7636018331289,-0.184591444062743,0.0657456795858626,0.0872603765744215,0.110134554197013,-0.00883412122258742,0.340505201081222,-0.189774395046441,-0.739138488684857
"64","Bilberry",-4.48429280756748,1.44079514083545,-1.75037585422086,0.603511387802614,-1.24122827033613,0.993617223583764,0.789493224630046,0.42496696578027,-0.667851227010357,-0.725491658104694
