"","common_name","profile"
"144","Ethyl.Phenylacetate","chocolate, rose, bitter, floral, fruit, sweet, anise, honey, balsam, melon, cocoa, raspberry, grapefruit"
"145","Borneol","woody, pine, camphor"
"146","CID.644104","grassy, very mild"
"147","Taxifolin","bitter"
"148","D.mannitol","odorless"
"149","indole.3.acetic.acid","sour, odorless, mild"
"150","X1.Pyrroline","shrimp, ammoniacal"
"151","Perilla.alcohol","fatty, terpineol, linalool, green"
"152","Isoamyl.angelate","floral, chamomile, fruity"
"153","Caryophyllene.oxide","spicy, spice, fresh, sweet, woody, herb, dry"
"154","X2.4.dihydroxybenzoic.acid","phenolic, mild"
"155","Menthone","herbal, peppermint, bitter, menthol, camphoraceous, raspberry, deep, camphor"
"156","Geranyl.Acetate","rose, waxy, bitter, floral, lavender, green"
"157","cis.3.Hexenyl.acetate","apple, fresh, banana, sweet, fruity, grassy, green"
"158","X7.Methoxycoumarin","balsam, sweet, balsamic, tonka"
"159",".beta..Bourbonene","woody, herbal, herb"
"160","Allyl.Alcohol","mustard, pungent"
"161","Cianidanol","bitter"
"162","Alpha.Terpinene","lemon, citrus, herbal, woody, camphoraceous, terpene, medicinal"
"163","Isobutyl.Acetate","apple, ethereal, banana, bitter, fruit, sweet, fruity, tropical"
"164","l.Menthol","cooling, tobacco, mentholic, peppermint, camphoraceous, minty"
"165","naringenin","bitter"
"166","Isobutyraldehyde","malt, fresh, floral, pungent, aldehydic, green"
"167","P.Cymene","solvent, citrus, spice, gasoline, fresh, woody, terpene"
"168","X6.Methyl.5.Hepten.2.One","rubber, hazelnut, citrus, apple, lemongrass, pepper, bitter, musty, nutty, mushroom, green"
"169","Tiglic.Acid","caramel, sweet, woody, spicy, dry"
"170","Isobutyl.isobutyrate","tropical, pineapple, grape skin"
"171","Angelic.Acid.Isobutyl.Ester","cooling, herbal, caraway, woody, sweet, celery, spicy, green"
"172","quercetin","bitter"
"173","X3..Methylthio.propionaldehyde","potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef"
"174","Xanthoxylin","camphor, borneol"
"175","Isoamyl.propionate","pineapple, tomato, banana, ripe, bitter, fruit, sweet, fruity, tropical"
"176","Octanal","lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green"
"177","Butyl.isobutyrate","apple, banana, sweet, fruity, tropical, green"
"178","hydrogen.cyanide","bitter"
"179","Benzyl.Benzoate","oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese"
"180","Ethyl.Benzoate","strawberry, anise, plum, camomile, banana, balsam, raspberry, wintergreen, fruit, cranberry, celery, dry, berry, grape, bitter, musty, sweet, fruity, cherry, minty, flower"
"181","alpha.Thujone","bitter, cedarleaf"
"182","Bisabolol","peppery, spice, mild, floral, flower"
"183","trans.3.Hexen.1.ol","moss, bitter, fresh, fatty, earthy, intensely, green"
"184","Ethyl.Acetate","pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green"
"185","X4.Hexen.3.One","ethereal, pungent, tropical, metallic, spicy, green"
"186","X3.Methylbutyl.2.methylbutanoate","citrus, apple, sweet, blueberry, fruity, cherry"
"187","Hexyl.propionate","musty, fruit, fruity, melon, pear, rotting, green"
"188","Neral","lemon, lemon peel, sweet, citral"
"189","X1.Terpineol","must, woody, musty, dry"
"190","X2.Furaldehyde","fragrant, bread, woody, sweet, baked, almond"
"191","X3.Methyl.2.butenal","brown, sweet, pungent, fruity, cherry, nutty, almond"
"192","X3.Pentanone","ethereal, acetone, ether"
"193","X2.Pentylfuran","butter, green bean, vegetable, earthy, beany, fruity, metallic, green"
"194","X....Pulegone",""
"195","Isobutyl.Isovalerate","apple, banana, sweet, fruity, raspberry, green"
"196","Myrcene","peppery, spice, balsamic, must, balsam, terpene, spicy, plastic"
"197","Heptanal","citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green"
"198","Alpha.Pinene","harsh, turpentine, minty, fresh, earthy, sweet, woody, terpene, pine, camphor"
"199","acetone","solvent, apple, pear, ethereal"
"200","X2.Butanone","ethereal, ether, fruity, acetone, camphor"
"201","beta.cis.farnesene","wood, citrus, sweet, woody"
"202","D.Lactic.acid","acidic, odorless"
"203","X4.hydroxybenzaldehyde","woody, sweet, balsam, nutty, almond"
"204","luteolin","bitter"
"205","X1195.32.0","styrene, citrus, gasoline, clove, guaiacol, pine, spicy, phenolic"
"206","X2.METHYLBUTYL.2.METHYLBUTYRATE","apple, berry, waxy, ester, sweet, fruity, green"
"207","p.coumaric.acid","balsam, balsamic"
"208","Ethyl.Palmitate","mild, wax, milky, waxy, creamy, fruity, balsam"
"209","Nonanoic.Acid","cultured dairy, fat, waxy, green, dirty, cheese"
"210","Citronellyl.butyrate","rose, waxy, floral, fruit, sweet, fruity, tropical, geranium, green"
"211","X6.Methyl.5.Hepten.2.One","rubber, hazelnut, citrus, apple, lemongrass, pepper, bitter, musty, nutty, mushroom, green"
"212","X2.Methyl.1.propanol","solvent, ether, wine, bitter"
"213","Geranyl.Acetate","rose, waxy, bitter, floral, lavender, green"
"214","Methyleugenol","peach, chocolate, clove, creamy, anise, plum, coconut, banana, fresh, balsam, raspberry, spicy, vanilla, oily, carnation, spice, apricot, warm, musty, mesquite, sweet, cinnamon"
"215","farnesol","orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
"216","Geraniol","citrus, rose, waxy, floral, sweet, fruity, geranium"
"217","Octanal","lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green"
"218","Citronellic.acid","smoky, fatty, floral, grassy, green"
"219","Citronellyl.isobutyrate","rose, floral, fruit, sweet, fruity, tropical, geranium"
"220","Geranylacetone","magnolia, rose, fresh, floral, aldehydic, fruity, leaf, green"
"221","vanillin","vanilla, chocolate, sweet, creamy"
"222","butyric.acid","butter, sweat, acetic, sharp, rancid, fruit, cheese"
"223","X2.3.butanedione","butter, caramel, oily, creamy, sweet, pungent, strong"
"224","Citronellal","lemon, citrus, rose, fat, herbal, waxy, floral, sweet, aldehydic, cherry, dry"
"225","X1.Hexanol","oil, alcoholic, ethereal, resin, fusel, sweet, fruity, flower, green"
"226","eugenol","clove, sweet, woody, honey, spicy, cinnamon"
"227","benzaldehyde","strong, sharp, burnt sugar, bitter, sweet, cherry, almond"
"228","Isovaleric.Acid","sour, sweat, acid, stinky, sweaty, animal, rancid, tropical, feet, cheese"
"229","X3.Methyl.1.butanol","oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity"
"230","Decanal","citrus, soap, orange peel, tallow, waxy, floral, sweet, aldehydic"
"231","Rhodinol",""
"232","nerol","citrus, magnolia, neroli, bitter, sweet, natural"
"233","trans.2.Hexenal","leafy, apple, cheesy, vegetable, fat, banana, rancid, fatty, sweet, plum, fruity, aldehydic, almond, green"
"234","X2.Furaldehyde","fragrant, bread, woody, sweet, baked, almond"
"235","X1.Dodecanol","coconut, wax, fat, waxy, fatty, earthy, honey, soapy"
"236","X6.Methyl.5.Hepten.2.One","rubber, hazelnut, citrus, apple, lemongrass, pepper, bitter, musty, nutty, mushroom, green"
"237","Perilla.alcohol","fatty, terpineol, linalool, green"
"238","X.2E.4E..deca.2.4.dienal","citrus, orange, nut, wax, meat, fat, fresh, fatty, oily, cucumber, sweet, melon, pumpkin, fried, green"
"239","Thymol","herbal, thyme, camphor, medicinal, phenolic"
"240","Tetradecanal","citrus peel, incense, amber, wax, waxy, fatty, musk, flower, dry"
"241","Ethyl.Butyrate","apple, pineapple, banana, fruit, fruity, juicy, cognac"
"242","Isopulegol","cooling, minty, woody, medicinal"
"243","d.Piperitone","minty, peppermint"
"244","Geranyl.Acetate","rose, waxy, bitter, floral, lavender, green"
"245","Hexanal","leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green"
"246","Ocimene","citrus, herbal, sweet, woody, tropical, terpene, herb, green"
"247","Decyl.Acetate","oil, citrus, orange, pineapple, rose, waxy, fresh, clean, laundered cloths, soapy"
"248","farnesol","orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
"249","Geraniol","citrus, rose, waxy, floral, sweet, fruity, geranium"
"250","X1.octanol","burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green"
"251","Nonanal","citrus, lime, orange peel, rose, fat, green, fishy, waxy, fresh, fatty, peely, aldehydic, orris, grapefruit"
"252","cis.3.Hexenyl.acetate","apple, fresh, banana, sweet, fruity, grassy, green"
"253","Hexyl.Butyrate","apple, apple peel, waxy, sweet, fruity, soapy, green"
"254","Myrcene","peppery, spice, balsamic, must, balsam, terpene, spicy, plastic"
"255","Alpha.Pinene","harsh, turpentine, minty, fresh, earthy, sweet, woody, terpene, pine, camphor"
"256","Geranylacetone","magnolia, rose, fresh, floral, aldehydic, fruity, leaf, green"
"257","Alpha.Phellandrene","mint, citrus, peppery, spice, herbal, turpentine, woody, terpene, green"
"258","Nonyl.Acetate","gardenia, waxy, bitter, fruit, sweet, clean, tropical, fruity, soapy, green"
"259","X2.Butanone","ethereal, ether, fruity, acetone, camphor"
"260","Terpinolene","citrus, fresh, sweet, woody, pine, plastic"
"261","Heptyl.acetate","apricot, fresh, ripe, fruit, woody, rum, pear, green"
"262","Beta.Pinene","resinous, resin, turpentine, green, hay, woody, pine, dry"
"263","X1.Decanol","orange, rose, fat, waxy, fatty, floral, sweet, clean, watery"
